candidate_id,test_slug,question_code,response_kind,answer_value,answer_option_code,recipe_note,recipe_version
GD-001,ipip-neo-120-v1,N101,single_choice,,N,facet=ANXIETY;target_sum=9,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,E101,single_choice,,A,facet=FRIENDLINESS;target_sum=16,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,O101,single_choice,,N,facet=IMAGINATION;target_sum=12,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,A101,single_choice,,A,facet=TRUST;target_sum=14,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,C101,single_choice,,SA,facet=SELF_EFFICACY;target_sum=17,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,N201,single_choice,,D,facet=ANGER;target_sum=7,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,E201,single_choice,,N,facet=GREGARIOUSNESS;target_sum=11,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,O201,single_choice,,N,facet=ARTISTIC_INTERESTS;target_sum=9,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,A201,single_choice,,SD,facet=MORALITY;target_sum=17,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,C201,single_choice,,A,facet=ORDERLINESS;target_sum=16,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,N301,single_choice,,D,facet=DEPRESSION;target_sum=7,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,E301,single_choice,,A,facet=ASSERTIVENESS;target_sum=13,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,O301,single_choice,,N,facet=EMOTIONALITY;target_sum=12,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,A301,single_choice,,A,facet=ALTRUISM;target_sum=16,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,C301,single_choice,,SA,facet=DUTIFULNESS;target_sum=18,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,N401,single_choice,,N,facet=SELF_CONSCIOUSNESS;target_sum=10,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,E401,single_choice,,A,facet=ACTIVITY_LEVEL;target_sum=15,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,O401,single_choice,,A,facet=ADVENTUROUSNESS;target_sum=14,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,A401,single_choice,,SD,facet=COOPERATION;target_sum=17,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,C401,single_choice,,A,facet=ACHIEVEMENT_STRIVING;target_sum=16,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,N501,single_choice,,D,facet=IMMODERATION;target_sum=8,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,E501,single_choice,,N,facet=EXCITEMENT_SEEKING;target_sum=9,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,O501,single_choice,,A,facet=INTELLECT;target_sum=15,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,A501,single_choice,,D,facet=MODESTY;target_sum=13,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,C501,single_choice,,SA,facet=SELF_DISCIPLINE;target_sum=17,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,N601,single_choice,,N,facet=VULNERABILITY;target_sum=10,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,E601,single_choice,,A,facet=CHEERFULNESS;target_sum=15,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,O601,single_choice,,N,facet=LIBERALISM;target_sum=12,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,A601,single_choice,,A,facet=SYMPATHY;target_sum=16,gd_001_answer_recipe_v1
GD-001,ipip-neo-120-v1,C601,single_choice,,D,facet=CAUTIOUSNESS;target_sum=16,gd_001_answer_recipe_v1
